task_id,task_size,vm_id,data_id,data_size,response_time,dttr,availability,load,profit
5,558,VM0-0-0-5,123,639.0,1.638,0.06293767507002801,0.9889196428515624,0.744,0.69
6,865,VM0-0-0-6,120,868.0,2.4566666666666666,0.06283138918345706,0.9998079156145834,1.1533333333333333,0.69
6,865,VM0-0-0-6,65,698.0,2.4566666666666666,0.06290426908150065,0.9998079156145834,1.1533333333333333,0.69
6,865,VM0-0-0-6,150,507.0,2.4566666666666666,0.06303694158075601,0.9998079156145834,1.1533333333333333,0.69
6,865,VM0-0-0-6,2,360.0,2.4566666666666666,0.06321839080459771,0.9998079156145834,1.1533333333333333,0.69
7,594,VM0-0-0-7,170,802.0,1.734,0.0628563283922463,0.9999539744282671,0.792,0.69
7,594,VM0-0-0-7,94,545.0,1.734,0.0,0.9999539744282671,0.792,0.69
7,594,VM0-0-0-7,156,729.0,1.734,0.06288868159203981,0.9999539744282671,0.792,0.69
7,594,VM0-0-0-7,173,892.0,1.734,0.06282316442605998,0.9999539744282671,0.792,0.69
8,626,VM0-0-1-0,25,921.0,1.8193333333333332,0.06281375502008033,0.9990909090871715,0.8346666666666667,0.69
8,626,VM0-0-1-0,39,545.0,1.8193333333333332,0.06300403225806452,0.9990909090871715,0.8346666666666667,0.69
9,211,VM0-0-1-1,156,729.0,0.17704166666666665,0.06288868159203981,0.9999790872298178,0.2813333333333333,0.69
9,211,VM0-0-1-1,25,921.0,0.17704166666666665,0.06281375502008033,0.9999790872298178,0.2813333333333333,0.69
9,211,VM0-0-1-1,193,532.0,0.17704166666666665,0.06301482701812192,0.9999790872298178,0.2813333333333333,0.69
9,211,VM0-0-1-1,28,313.0,0.17704166666666665,0.06330541237113402,0.9999790872298178,0.2813333333333333,0.69
10,877,VM0-0-1-2,134,324.0,2.4886666666666666,0.0,0.9993749726557537,1.1693333333333333,0.69
10,877,VM0-0-1-2,81,472.0,2.4886666666666666,0.06307129798903108,0.9993749726557537,1.1693333333333333,0.69
10,877,VM0-0-1-2,18,500.0,2.4886666666666666,0.06304347826086956,0.9993749726557537,1.1693333333333333,0.69
10,877,VM0-0-1-2,124,423.0,2.4886666666666666,0.06312751004016064,0.9993749726557537,1.1693333333333333,0.69
11,605,VM0-0-1-3,123,639.0,1.0583333333333333,0.06293767507002801,0.9994220889423079,0.8066666666666666,0.69
